Taxa	SS_WS12	SS_DS13	SS_DS14
121753	3.34	17.02	20.77
121760	5.35	23.63	25.74
121771	5.3	23.08	25.79
121774	14.02	14.23	13.56
121785	6.41	10.52	15.81
121794	8.29	17.46	20.09
121799	6.51	25.94	6.84
121804	14.44	14.55	16.16
121807	10.48	33.38	37.4
121808	5.95	32.23	16.31
121811	15.41	17.88	22.39
121812	16.84	19.06	20.14
121821	14.29	37.88	21.8
121823	19.54	33.28	19.9
121827	7.96	20.21	32.24
121829	8.95	9.69	10.36
121830	10.87	28.34	28.35
121834	13.4	26.87	19.62
121835	13.44	18.16	19.42
121836	1.46	17.27	13.05
121839	31.77	22.24	17.82
121840	31.86	35.86	38.18
121844	4.72	17.2	19.61
121846	11.99	16.77	12.57
121847	3.48	7.17	8.42
121848	18.89	36.65	11.76
121849	10.71	10.56	11.36
121850	20.86	23.49	25.73
121851	10.89	24.56	23.88
121852	5.43	8.63	17.07
121853	6.33	23.67	22.02
121854	8.01	12.98	13.19
121855	6.12	11.95	21.92
121856	5.76	15.42	16.4
121857	4.3	17.63	16.36
121858	4.65	18.21	19.51
121881	10.08	47.34	14.03
121889	14.69	24.56	18.65
121965	5.62	9.87	15.14
121990	7.35	29.19	35.56
122000	24.46	42.94	26.36
122011	5.51	15.14	10.95
122025	4.34	21.76	6.97
122029	2.68	16.42	11.45
122042	3.84	7.2	9.09
122076	21.39	10.73	10.16
122080	7.3	37.68	9.92
122088	5.04	9.73	10.02
122089	9.06	21.32	9.54
122090	9.06	24.39	13.33
122091	9.31	18.13	36.66
122093	5.87	15.18	16.95
122094	12.42	12.48	13.88
122096	12.45	12.69	12.58
122098	6.13	17.91	19.58
122099	5.66	14.95	18.3
122112	14.67	20.02	34.82
122156	7.64	7.87	8.89
122159	22.64	18.66	20.18
122178	7.83	20.53	13.01
122179	14.82	6.37	20.32
122181	14.82	13.42	17.07
122206	25.98	3.09	6.88
122232	7.64	4.78	6.81
122236	14.5	14.96	31.51
122239	10.61	12.15	14.45
122255	8.23	19.53	19.91
122258	25.52	17.59	4.04
122272	8.35	22.41	4.34
122284	15.59	35.43	17.54
122285	4.38	38.53	19.61
122286	12.73	28.96	14.95
122287	14.82	28.31	25.33
122288	22.78	42.16	24.34
122289	6.94	19.4	8.64
122290	12.55	24.12	15.6
122291	10.98	19.16	11.2
122292	9.95	22.04	12.37
122297	11.48	47.54	25.68
122298	8.67	19.98	12.92
